Genus	Species	Aggregation_score	B_vitamins	Copies_16S	GC_content	Gene_number	Genome_Mb	Gram_positive	IgA	Length	Motility	Oxygen_tolerance	pH_optimum	Salt_optimum	Temp_optimum	Width	Sporulation
Scandinavium	goeteborgense	NA	NA	7	54.3183	4538	4.71396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scardovia	inopinata	NA	0	2	49.05	1511	1.79786	1	NA	NA	0	2.5	NA	NA	NA	NA	1
Scardovia	wiggsiae	0.6666666666666666	0	NA	55	NA	1.5555	1	NA	0.816470396591944	0	1	NA	NA	NA	0.17185025692665923	0.2
Scatavimonas	merdigallinarum	NA	NA	NA	NA	NA	1.99198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatenecus	faecavium	NA	NA	NA	NA	NA	1.84975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatocola	faecigallinarum	NA	NA	NA	NA	NA	1.67624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatocola	faecipullorum	NA	NA	NA	NA	NA	1.73864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatolibacter	rhodanostii	NA	NA	NA	NA	NA	2.70202	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatomonas	merdavium	NA	NA	NA	NA	NA	2.27337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatomonas	merdigallinarum	NA	NA	NA	NA	NA	2.50502	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatomonas	pullistercoris	NA	NA	NA	NA	NA	2.34597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatomorpha	gallistercoris	NA	NA	NA	NA	NA	2.35552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatomorpha	intestinavium	NA	NA	NA	NA	NA	2.06344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatomorpha	intestinigallinarum	NA	NA	NA	NA	NA	2.1294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatomorpha	intestinipullorum	NA	NA	NA	NA	NA	1.3667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatomorpha	merdavium	NA	NA	NA	NA	NA	2.21321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatomorpha	merdigallinarum	NA	NA	NA	NA	NA	2.26444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatomorpha	merdipullorum	NA	NA	NA	NA	NA	1.78344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatomorpha	pullicola	NA	NA	NA	NA	NA	2.07974	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatomorpha	pullistercoris	NA	NA	NA	NA	NA	2.20873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatomorpha	stercoravium	NA	NA	NA	NA	NA	1.9651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatomorpha	stercorigallinarum	NA	NA	NA	NA	NA	1.94101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatoplasma	merdavium	NA	NA	NA	NA	NA	0.97326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatosoma	pullicola	NA	NA	NA	NA	NA	1.99172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatosoma	pullistercoris	NA	NA	NA	NA	NA	1.4874	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatousia	excrementigallinarum	NA	NA	NA	NA	NA	2.81137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatousia	excrementipullorum	NA	NA	NA	NA	NA	1.84755	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatovicinus	merdipullorum	NA	NA	NA	NA	NA	2.08675	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Scatovivens	faecipullorum	NA	NA	NA	NA	NA	1.87917	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Schaalia	canis	NA	NA	NA	NA	NA	2.57816	1	NA	NA	0	3	NA	NA	NA	NA	NA
Schaalia	cardiffensis	NA	NA	4	61.4	1831	2.23059	1	NA	NA	0	1.375	NA	NA	NA	NA	1
Schaalia	funkei	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2.2	NA	NA	NA	NA	0
Schaalia	georgiae	NA	NA	NA	65	NA	2.49802	1	NA	1.547562508716013	0	2.5	NA	NA	NA	-0.05129329438755058	0.6666666666666666
